전부	7640	ko
dead	7636	en
그녀는	7620	ko
니가	7615	ko
many	7570	en
않아요	7552	ko
mind	7524	en
wasn	7508	en
자기	7504	ko
있죠	7502	ko
하면	7502	ko
가지고	7449	ko
friend	7411	en
best	7383	en
그들이	7379	ko
mom	7337	en
hell	7316	en
morning	7299	en
trying	7292	en
boy	7274	en
together	7271	en
yourself	7262	en
너도	7228	ko
됐어	7208	ko
미안해	7195	ko
job	7187	en
saw	7165	en
것을	7102	ko
여긴	7097	ko
아무	7090	ko
family	7082	en
real	7082	en
사람은	6987	ko
감사합니다	6987	ko
without	6985	en
baby	6985	en
다들	6979	ko
room	6978	en
어때	6942	ko
wouldn	6935	en
already	6921	en
엄마가	6901	ko
나를	6859	ko
이젠	6856	ko
아마	6846	ko
그들은	6826	ko
move	6824	en
얘기	6823	ko
있잖아	6806	ko
most	6805	en
저도	6796	ko
seen	6791	en
지금은	6776	ko
그녀가	6763	ko
live	6758	en
miss	6755	en
actually	6723	en
시간	6675	ko
먼저	6670	ko
우릴	6635	ko
말고	6627	ko
huh	6604	en
shit	6572	en
사람을	6537	ko
수가	6522	ko
both	6509	en
봐요	6489	ko
heard	6488	en
once	6485	en
있는데	6437	ko
ready	6426	en
head	6416	en
알았어요	6409	ko
해야	6391	ko
있었어	6381	ko
우리의	6364	ko
called	6362	en
않을	6359	ko
used	6337	en
idea	6326	en
knew	6323	en
방금	6308	ko
hold	6308	en
happy	6303	en
door	6278	en
such	6278	en
완전	6266	ko
fuck	6254	en
brother	6249	en
also	6247	en
pretty	6240	en
bit	6226	en
took	6223	en
haven	6215	en
동안	6205	ko
yet	6202	en
시간이	6195	ko
men	6187	en
whole	6182	en
start	6165	en
use	6157	en
while	6155	en
싶어	6140	ko
since	6118	en
일은	6110	ko
wife	6108	en
친구	6100	ko
들어	6090	ko
days	6087	en
안에	6062	ko
자네	6027	ko
guess	6019	en
tomorrow	5981	en
matter	5958	en
meet	5950	en
bring	5947	en
tonight	5927	en
everyone	5916	en
합니다	5901	ko
사실	5896	ko
한번	5889	ko
run	5872	en
wanna	5845	en
hard	5840	en
대체	5821	ko
같은데	5816	ko
alone	5782	en
myself	5782	en
school	5775	en
gone	5773	en
생각해	5743	ko
맞아요	5731	ko
혼자	5710	ko
자네가	5710	ko
end	5708	en
saying	5689	en
phone	5656	en
play	5623	en
looks	5622	en
couldn	5611	en
fucking	5599	en
그러니	5592	ko
problem	5586	en
선생님	5572	ko
few	5563	en
사람들은	5545	ko
friends	5541	en
gotta	5539	en
문제가	5527	ko
ago	5524	en
open	5522	en
anyone	5490	en
killed	5489	en
다음	5487	ko
물론	5472	ko
hope	5458	en
거의	5457	ko
일이야	5457	ko
없습니다	5457	ko
아빠가	5447	ko
face	5422	en
until	5414	en
그러면	5401	ko
가는	5361	ko
lost	5347	en
police	5323	en
말도	5313	ko
이리	5308	ko
있었어요	5303	ko
excuse	5286	en
맙소사	5273	ko
내일	5263	ko
turn	5255	en
있으면	5248	ko
잠깐만	5248	ko
싫어	5238	ko
중요한	5223	ko
내게	5220	ko
말해	5215	ko
이상	5200	ko
거라고	5195	ko
business	5190	en
case	5176	en
wants	5173	en
says	5172	en
아는	5170	ko
true	5164	en
너는	5160	ko
die	5147	en
heart	5143	en
전혀	5140	ko
soon	5128	en
여자	5117	ko
each	5096	en
worry	5081	en
새로운	5042	ko
later	5022	en
year	5018	en
watch	5000	en
너희	4997	ko
music	4982	en
왔어	4964	ko
hand	4959	en
having	4956	en
아직도	4947	ko
가지	4942	ko
나와	4939	ko
싶지	4881	ko
여기에	4876	ko
probably	4875	en
원하는	4874	ko
필요	4856	ko
도움이	4851	ko
그녀를	4839	ko
beautiful	4828	en
몰라요	4826	ko
작은	4823	ko
혹시	4801	ko
doctor	4771	en
미안해요	4766	ko
sit	4764	en
나쁜	4763	ko
eat	4752	en
죄송해요	4751	ko
모르겠어	4751	ko
가요	4743	ko
thinking	4710	en
알지	4690	ko
young	4684	en
밖에	4673	ko
직접	4663	ko
있나	4660	ko
second	4657	en
working	4645	en
water	4641	en
해도	4640	ko
person	4632	en
하죠	4625	ko
part	4622	en
kids	4618	en
late	4616	en
했는데	4590	ko
필요해	4587	ko
아니요	4585	ko
stuff	4583	en
exactly	4557	en
under	4553	en
death	4544	en
minute	4543	en
적이	4540	ko
pay	4540	en
crazy	4539	en
forget	4535	en
everybody	4533	en
있나요	4527	ko
갖고	4525	ko
돈을	4517	ko
kid	4517	en
주세요	4509	ko
change	4495	en
gave	4483	en
어디서	4479	ko
happen	4473	en
것이	4457	ko
거요	4444	ko
damn	4430	en
위한	4419	ko
five	4415	en
것은	4411	ko
없이	4411	ko
나중에	4401	ko
drink	4390	en
far	4383	en
아버지	4379	ko
나랑	4376	ko
knows	4368	en
됐어요	4361	ko
마세요	4359	ko
whatever	4330	en
언제	4313	ko
eyes	4310	en
그저	4308	ko
생각	4298	ko
했지	4293	ko
shut	4289	en
aren	4287	en
봤어	4281	ko
해서	4281	ko
hit	4274	en
taking	4272	en
시간을	4268	ko
easy	4264	en
times	4244	en
check	4244	en
마지막	4241	ko
hands	4239	en
알겠어	4236	ko
왜냐면	4218	ko
minutes	4210	en
deal	4206	en
위해서	4205	ko
different	4199	en
엄청	4193	ko
means	4191	en
point	4188	en
inside	4186	en
알겠습니다	4183	ko
오래	4180	ko
기다려	4163	ko
makes	4142	en
아닙니다	4140	ko
